#    201
polymer number    rg squared    mean rg
748.0000   1045.1938    32.1461
749.0000   641.0704    25.2273
750.0000   342.7441    18.4967
751.0000    87.1159     9.2941
752.0000    15.4766     3.8871
753.0000    14.7758     3.8008
754.0000   714.0563    26.6932
755.0000    13.2615     3.6029
756.0000    12.7761     3.5222
757.0000    19.7022     4.3686
758.0000   275.2908    16.4921
759.0000    12.7719     3.5423
760.0000    15.7337     3.8801
761.0000    10.7778     3.2382
762.0000   874.3876    29.4283
763.0000    18.6644     4.1928
764.0000    12.4933     3.4664
765.0000   1227.8828    35.0026
766.0000   702.7053    26.4035
767.0000   138.3940    11.3015
768.0000    14.7951     3.7382
769.0000   211.8809    14.4451
770.0000    19.5710     4.3794
771.0000    14.1922     3.6307
772.0000   639.1097    25.2229
773.0000   1544.0701    39.1814
774.0000    18.4350     4.2181
775.0000    22.9966     4.7235
776.0000    16.4688     3.9910
777.0000    73.0426     8.4846
778.0000   348.1208    18.5563
779.0000    24.5098     4.8356
780.0000   356.1097    18.8105
781.0000    15.5488     3.8780
782.0000   665.4196    25.7438
783.0000   702.6723    26.2976
784.0000   1153.5414    33.9399
785.0000   270.7955    16.3222
786.0000   1127.4199    33.5333
787.0000    14.1612     3.7201
788.0000   517.5336    22.5985
789.0000    14.9520     3.8292
790.0000   678.6280    26.0156
791.0000    12.9323     3.5531
792.0000   308.6419    17.5115
793.0000    55.0950     7.2770
794.0000    19.0092     4.2833
795.0000    14.1669     3.7010
796.0000    10.9490     3.2878
797.0000    12.1049     3.3883
798.0000   335.5404    18.2063
799.0000    16.4569     3.9794
800.0000    21.4229     4.5850
801.0000   115.0918    10.6789
802.0000    14.3146     3.7364
803.0000    11.6347     3.3449
804.0000    44.2867     6.6101
805.0000    14.4405     3.7074
806.0000    50.5723     7.0743
807.0000    12.1204     3.4140
808.0000    13.3724     3.6213
809.0000   694.0224    26.2609
810.0000    13.4810     3.6112
811.0000    20.5840     4.4531
812.0000    83.0027     8.8756
813.0000   599.6012    24.4124
814.0000   1180.2486    34.2202
815.0000    18.5707     4.2625
816.0000   358.8895    18.8551
817.0000    19.3797     4.2699
818.0000   194.4080    13.8509
819.0000    10.8548     3.2284
820.0000    14.3723     3.7058
821.0000    19.8880     4.3465
822.0000   144.8467    11.9958
823.0000   147.3472    12.0849
824.0000    17.5985     4.1564
825.0000   833.1391    28.4600
826.0000   1019.2690    31.6391
827.0000    18.6706     4.2072
828.0000   240.4570    15.4918
829.0000    12.6120     3.4972
830.0000    13.1831     3.5528
831.0000   839.1166    28.9070
832.0000   1440.7563    37.9268
833.0000   335.3991    18.2404
834.0000    23.1480     4.7170
835.0000    14.1627     3.6886
836.0000    17.7001     4.1254
837.0000   306.9725    17.4444
838.0000    65.5816     7.9159
839.0000    16.1401     3.9599
840.0000    13.7165     3.6533
841.0000    63.6283     7.8689
842.0000   438.2655    20.8822
843.0000    12.0043     3.3805
844.0000   1194.7088    34.5467
845.0000   335.7308    18.0734
846.0000   1901.2930    43.3759
847.0000   500.1123    22.3524
848.0000    16.1061     3.9448
849.0000    13.4825     3.6200
850.0000   856.0386    29.1857
851.0000   357.0791    18.8771
852.0000    16.2220     3.9734
853.0000    17.6774     4.1396
854.0000   430.9062    20.6370
855.0000    10.5941     3.2188
856.0000    12.5116     3.4963
857.0000   553.5967    23.4892
858.0000   264.4336    16.1549
859.0000    15.4551     3.8641
860.0000    12.5531     3.4725
861.0000   117.1248    10.6771
862.0000    12.2921     3.4685
863.0000   306.8696    17.3258
864.0000    21.4867     4.4925
865.0000    13.5515     3.6377
866.0000   1001.9038    31.4923
867.0000    14.0581     3.6944
868.0000    16.3971     4.0175
869.0000    18.5385     4.2696
